instances, , , , , , Base Model, , , , , , , 
#name, k, b, #nodes, #edges, #k-cores, #vars, #edges_removed, time_to_remove_edges, #y-sat_nodes, time_to_find_y_sat, UB, LB, time
facebook_combined,17,250,4039,88234,0,8078,NA,NA,NA,NA,472,472,9.33638286590576
CA-CondMat,4,250,23133,93497,0,46266,NA,NA,NA,NA,474,473,8.57059907913208
CA-HepPh,4,250,12008,118521,0,24016,NA,NA,NA,NA,387,387,5.34450101852417
Brightkite_edges,2,250,58228,214078,0,116456,NA,NA,NA,NA,562,561,18.0135200023651
socfb-Northeastern19,33,250,13882,381934,0,27764,NA,NA,NA,NA,619,576,3602.62707042694
socfb-Syracuse56,46,250,13653,543982,0,27306,NA,NA,NA,NA,787,646,3603.47048044205
Gowalla_edges,3,250,196591,950327,0,393182,NA,NA,NA,NA,883.916666667006,882,88.4932074546814
com-dblp.ungraph,3,250,317080,1049866,0,634160,NA,NA,NA,NA,832,820,111.24875831604
google out of memory,,,,,,,,,,,,,
soc-catster.e,21,250,149700,5449275,0,299400,NA,NA,NA,NA,609,603,2398.42720007896
dogster out of memory,,,,,,,,,,,,,
soc-twitter-higgs.e,17,250,456631,12508465,0,913262,NA,NA,NA,NA,933,904,3706.65577197075
web-hudong.e,5,250,1984484,14615608,0,3968968,NA,NA,NA,NA,1082967.0350542,1082893,2295.83396863937
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
472,472,0.00%,,,,,,,,,,,
474,473,0.21%,,,,,,,,,,,
387,387,0.00%,,,,,,,,,,,
562,561,0.18%,,,,,,,,,,,
619,576,6.95%,,,,,,,,,,,
787,646,17.92%,,,,,,,,,,,
883.916666667006,882,0.22%,,,,,,,,,,,
832,820,1.44%,,,,,,,,,,,
,,#DIV/0!,,,,,,,,,,,
609,603,0.99%,,,,,,,,,,,
,,#DIV/0!,,,,,,,,,,,
933,904,3.11%,,,,,,,,,,,
1082967.0350542,1082893,0.01%,,,,,,,,,,,
